"","site","station","tow_size","tow_type","taxon","total_cells","date_sampled","sample_vol","dilution","vol_collected","area_chamber","area_counted","day_label"
"1","AB","St1","20","H","C.cf.compressus",39,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"2","AB","St1","20","H","C.closterium",5,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"3","AB","St1","20","H","C.curvistus",251,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"4","AB","St1","20","H","C.debilis",17,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"5","AB","St1","20","H","C.diadema",50,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"6","AB","St1","20","H","C.didymus",46,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"7","AB","St1","20","H","C.radicans",46,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"8","AB","St1","20","H","C.simplex",4,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"9","AB","St1","20","H","Corethron",1,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"10","AB","St1","20","H","D.brightwellii",1,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"11","AB","St1","20","H","E.zondicus",19,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"12","AB","St1","20","H","Guinardia",21,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"13","AB","St1","20","H","L.danicus",4,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"14","AB","St1","20","H","L.minimus",77,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"15","AB","St1","20","H","P.nitzschia",123,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"16","AB","St1","20","H","Pennate",33,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"17","AB","St1","20","H","Pleurosigma",1,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"18","AB","St1","20","H","Silicoflagellate",9,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"19","AB","St1","20","H","Skeletonema",40,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"20","AB","St1","20","H","T.anguste-lineata",6,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"21","AB","St1","20","H","T.constricta",63,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"22","AB","St1","20","H","T.frauenfeldii",7,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"23","AB","St1","20","H","T.rotula",10,2023-10-25,0.05,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"24","AB","St1","20","V","C.closterium",2,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"25","AB","St1","20","V","C.curvistus",147,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"26","AB","St1","20","V","C.debilis",40,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"27","AB","St1","20","V","C.decipiens",4,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"28","AB","St1","20","V","C.diadema",7,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"29","AB","St1","20","V","C.didymus",19,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"30","AB","St1","20","V","C.radicans",9,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"31","AB","St1","20","V","C.simplex",2,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"32","AB","St1","20","V","Cerataulina",3,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"33","AB","St1","20","V","Chaetoceros",137,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"34","AB","St1","20","V","Detonula",15,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"35","AB","St1","20","V","Dinoflagellate",1,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"36","AB","St1","20","V","Ditylum",3,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"37","AB","St1","20","V","Eucampia",11,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"38","AB","St1","20","V","Flagellate",6,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"39","AB","St1","20","V","Guinardia",36,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"40","AB","St1","20","V","L.minimus",32,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"41","AB","St1","20","V","Leptocylindrus",6,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"42","AB","St1","20","V","P.nitzschia",74,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"43","AB","St1","20","V","Pennate",13,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"44","AB","St1","20","V","Protoperidinium",2,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"45","AB","St1","20","V","T.fusus",1,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"46","AB","St1","20","V","Thalassiosira",76,2023-10-25,0.038,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"47","AB","St1","55","H","C.cf.compressus",51,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"48","AB","St1","55","H","C.closterium",9,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"49","AB","St1","55","H","C.curvistus",176,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"50","AB","St1","55","H","C.debilis",19,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"51","AB","St1","55","H","C.densus",3,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"52","AB","St1","55","H","C.diadema",34,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"53","AB","St1","55","H","C.didymus",30,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"54","AB","St1","55","H","C.lauderi",10,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"55","AB","St1","55","H","C.radicans",19,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"56","AB","St1","55","H","C.simplex",2,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"57","AB","St1","55","H","D.brightwellii",3,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"58","AB","St1","55","H","E.turris",4,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"59","AB","St1","55","H","E.zondicus",4,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"60","AB","St1","55","H","Guinardia",11,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"61","AB","St1","55","H","L.danicus",1,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"62","AB","St1","55","H","L.minimus",13,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"63","AB","St1","55","H","P.nitzschia",65,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"64","AB","St1","55","H","Pennate",33,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"65","AB","St1","55","H","Prorocentrum",2,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"66","AB","St1","55","H","Rhizosolenia",1,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"67","AB","St1","55","H","Silicoflagellate",1,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"68","AB","St1","55","H","T.rotula",3,2023-10-25,0.055,10,9090.19834316207,1000,8.309512568745,"AB Day 1"
"69","AB","St1","55","V","C.closterium",1,2023-10-25,0.055,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"70","AB","St1","55","V","C.curvistus",108,2023-10-25,0.055,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
"71","AB","St1","55","V","C.debilis",33,2023-10-25,0.055,10,2945.24311274043,1000,8.309512568745,"AB Day 1"
